,fecha,Consumo,Cargo fijo,Cargo variable,Dias,subsidio,Total,Tipo,Precio kWh,Dia,precio_kWh,inflacion_acumulada,T_mean,T_max,T_min,longitud,latitud,precio_kWh_norm,use,precio_kWh_norm_nan,precio_kWh_norm_new
27,2006-01-28,225,4.44,18.45,62,,29.2953087,,,,0.130201372,1.0104435576428603,25.94,32.87,18.83,-58.2813,-34.8115,0.1288556604821459,1,0.1288556604821459,0.1288556604821459
28,2006-01-29,225,4.44,18.45,62,,29.2953087,,,,0.130201372,1.0108324436706415,27.05,34.1,20.08,-58.2813,-34.8115,0.12880608731472748,1,0.12880608731472748,0.12880608731472748
29,2006-01-30,225,4.44,18.45,62,,29.2953087,,,,0.130201372,1.011221479367686,21.25,27.34,15.98,-58.2813,-34.8115,0.1287565332190279,1,0.1287565332190279,0.1287565332190279
30,2006-01-31,225,4.44,18.45,62,,29.2953087,,,,0.130201372,1.011610664791596,20.22,25.61,14.84,-58.2813,-34.8115,0.12870699818770998,1,0.12870699818770998,0.12870699818770998
31,2006-02-01,225,4.44,18.45,62,,29.2953087,Bimestral,0.082,1.0,0.130201372,1.011754902619587,21.07,26.58,18.56,-58.2813,-34.8115,0.12868864945738231,1,0.12868864945738231,0.12868864945738231
32,2006-02-02,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.011899161013346,23.22,28.15,19.33,-58.2813,-34.8115,0.2553488627673564,-1,,0.12868864945738231
33,2006-02-03,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0120434399758067,23.9,28.75,19.06,-58.2813,-34.8115,0.25531245971633076,-1,,0.12868864945738231
34,2006-02-04,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.012187739509901,24.19,27.8,21.41,-58.2813,-34.8115,0.2552760618549979,-1,,0.12868864945738231
35,2006-02-05,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0123320596185623,24.28,30.82,17.36,-58.2813,-34.8115,0.2552396691826178,-1,,0.12868864945738231
36,2006-02-06,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0124764003047242,21.25,28.09,15.04,-58.2813,-34.8115,0.2552032816984508,-1,,0.12868864945738231
37,2006-02-07,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0126207615713203,19.59,25.78,13.12,-58.2813,-34.8115,0.25516689940175735,-1,,0.12868864945738231
38,2006-02-08,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.012765143421286,20.59,26.87,15.72,-58.2813,-34.8115,0.25513052229179756,-1,,0.12868864945738231
39,2006-02-09,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.012909545857555,20.41,25.41,16.19,-58.2813,-34.8115,0.25509415036783245,-1,,0.12868864945738231
40,2006-02-10,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.013053968883063,21.08,26.75,16.37,-58.2813,-34.8115,0.2550577836291224,-1,,0.12868864945738231
41,2006-02-11,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0131984125007458,21.87,27.83,16.58,-58.2813,-34.8115,0.2550214220749283,-1,,0.12868864945738231
42,2006-02-12,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0133428767135395,22.6,28.17,17.09,-58.2813,-34.8115,0.2549850657045109,-1,,0.12868864945738231
43,2006-02-13,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0134873615243802,25.02,31.69,18.35,-58.2813,-34.8115,0.2549487145171314,-1,,0.12868864945738231
44,2006-02-14,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0136318669362052,26.21,32.54,19.31,-58.2813,-34.8115,0.2549123685120508,-1,,0.12868864945738231
45,2006-02-15,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0137763929519517,26.55,33.13,20.73,-58.2813,-34.8115,0.2548760276885303,-1,,0.12868864945738231
46,2006-02-16,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0139209395745574,27.63,34.83,21.73,-58.2813,-34.8115,0.2548396920458311,-1,,0.12868864945738231
47,2006-02-17,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0140655068069606,25.82,33.6,19.42,-58.2813,-34.8115,0.2548033615832148,-1,,0.12868864945738231
48,2006-02-18,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0142100946520998,24.82,32.85,17.44,-58.2813,-34.8115,0.25476703629994285,-1,,0.12868864945738231
49,2006-02-19,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.014354703112914,26.53,33.26,20.87,-58.2813,-34.8115,0.2547307161952768,-1,,0.12868864945738231
